clusters9,Features9,weights
5,life,0.2517221980132789
5,cultural,0.14146536237747115
5,initiative,0.12980846295959866
5,impact,0.12464752846639136
5,community,0.1139012130446268
5,help,0.11110020511145258
5,space,0.08940850434012089
5,learn,0.06969360445861594
5,opportunity,0.05602572785707058
5,access,0.05307961845121128
5,program,0.032541142629836046
5,local,0.027206411141081556
5,create,0.02704053211515448
5,skill,0.02683552516137701
5,building,0.020289681302122057
5,engage,0.020232780997909084
5,area,0.01994273395134993
5,promote,0.019921365057811554
5,new,0.019760978299379874
5,develop,0.01903777940044188
5,youth,0.0187690713869597
5,centre,0.01694343246346285
5,festival,0.016613461004177196
5,upgrade,0.016136008540629607
5,renovate,0.01585661345534812
5,expand,0.01561751052522483
5,make,0.015124608783011311
5,purchase,0.015058226549255663
5,install,0.014976566215962939
5,event,0.014536869466235109
5,equipment,0.01440119607255797
5,workshop,0.01433130679053308
5,assist,0.01356417051249205
5,provide,0.013434433949843165
5,project,0.012851992038645838
5,replace,0.012509482197122085
5,increase,0.012217588380625264
5,school,0.011605155369482919
5,deliver,0.011555938494889954
5,improve,0.011481300226806698
5,accessible,0.01108867493443941
5,support,0.010692517969732597
5,public,0.009956437878961744
5,development,0.00950243874640125
5,region,0.00918532691183592
5,cost,0.008647129403226985
5,build,0.008490231727222426
5,awareness,0.008423571807384456
5,child,0.008243279519798623
5,activity,0.007732394668081842
5,staff,0.007637220030451426
5,young,0.007619556794030385
5,include,0.007394214476560694
5,hire,0.0069559609069918165
5,education,0.006791975270597277
5,enhance,0.006714095355109779
5,enable,0.005523955915143696
5,county,0.005268796882559964
5,order,0.005075006116841356
5,work,0.00505804412609859
5,coordinator,0.00488624185751736
5,resident,0.004808428215576163
5,plan,0.004780087204157186
5,organization,0.0046948548480121675
5,need,0.004546034796834472
5,offer,0.004469339148472667
5,facility,0.004366022190538821
5,group,0.004192620826224075
5,participate,0.003943746460931448
5,establish,0.0037224619006462133
5,senior,0.0036034002475765887
5,age,0.0035051014665303318
5,resource,0.0034381363985565346
5,training,0.003394039506429342
5,ensure,0.002992454916616453
5,implement,0.00297208607703333
5,disability,0.00282625384402968
5,adult,0.002564834027001471
5,continue,0.0023428080948104126
5,member,0.0021271118632865305
5,family,0.002053358910379991
5,safety,0.0019701135339691258
5,social,0.00182588631784658
5,purchasing,0.001803035659693952
5,capacity,0.0016645670522230783
5,food,0.001647966792559893
5,volunteer,0.0015722525725774292
5,service,0.0015445807916457629
5,health,0.0014072453836591035
5,active,0.0012617050873868878
5,woman,0.0012305909537145335
5,quality,0.0010778058279976572
5,fund,0.0009401249042075868
5,physical,0.0009119974630243424
5,sport,0.0009098071430474925
5,recreational,0.0006295730039083227
5,club,0.000557092786867063
6,volunteer,0.4013788369519083
6,program,0.10041065708344468
6,support,0.08850760595301613
6,training,0.07846910015343105
6,increase,0.06937962500744273
6,organization,0.06650596289480583
6,community,0.06339820859751018
6,coordinator,0.0630814853826759
6,develop,0.062192700991590744
6,provide,0.05663384762205279
6,staff,0.05475501319540478
6,hire,0.05204195102530601
6,service,0.051712261134796544
6,development,0.04589737660698844
6,help,0.04091346428697953
6,enhance,0.04031635481936007
6,new,0.03581570064160441
6,resource,0.03313577284037413
6,expand,0.03244694752295083
6,youth,0.030676689429000203
6,plan,0.02954239712323865
6,implement,0.02813343764461752
6,awareness,0.027727548731749627
6,improve,0.027481250892841407
6,area,0.02673812107037748
6,local,0.02663852359579812
6,opportunity,0.02596167362900858
6,assist,0.02424522917845614
6,activity,0.023822381272145025
6,equipment,0.023485426056977513
6,event,0.02316225950833671
6,county,0.022983764833912908
6,child,0.022742375336820105
6,purchase,0.022620749271884812
6,work,0.022552715708288713
6,fund,0.022546607303877343
6,need,0.022003345806125108
6,deliver,0.02199743277304312
6,skill,0.02193878860932564
6,member,0.021556239653601376
6,promote,0.02127470762566304
6,create,0.021059039731695137
6,centre,0.02086380010447009
6,region,0.019483247326966276
6,senior,0.019264070713026982
6,establish,0.01915572589285623
6,enable,0.01855346302371564
6,family,0.018224336433181408
6,cost,0.018172588244528144
6,festival,0.018116392295132275
6,build,0.01771004305705654
6,engage,0.017390227731491993
6,woman,0.017115962831861793
6,order,0.016724119501535108
6,group,0.016409142437627037
6,project,0.01635536522902765
6,disability,0.015724130633639515
6,education,0.015248952221707605
6,school,0.015161753430918367
6,include,0.014998018742243286
6,access,0.014064640155224515
6,initiative,0.014013519791059142
6,offer,0.013855786074573282
6,public,0.013563771752561309
6,workshop,0.01342339874365376
6,adult,0.01340123818522977
6,club,0.013110890353098403
6,quality,0.012843453241640825
6,ensure,0.012779710764632513
6,health,0.012594154952691651
6,purchasing,0.011916343211662263
6,social,0.011681371838134808
6,food,0.011517297003314922
6,sport,0.011481617022572062
6,art,0.01074083202155588
6,resident,0.010634037918393709
6,active,0.0101963786368338
6,make,0.01019563110702714
6,space,0.009839248820356727
6,capacity,0.009623412424207094
6,continue,0.009384570511875873
6,upgrade,0.009204647140470784
6,young,0.00893378401134729
6,participate,0.0089255585992035
6,cultural,0.008842517976011658
6,age,0.008539363072973065
6,recreational,0.00853143697629517
6,impact,0.008401268681107956
6,learn,0.007363697239139332
6,heritage,0.007206667713923905
6,facility,0.007154407712906888
6,building,0.0069528046664354025
6,physical,0.006781092965106879
6,life,0.006215842755909579
6,accessible,0.005684320755757262
6,renovate,0.0055213815919535995
6,culture,0.005065239247568608
6,install,0.00439951178563324
6,replace,0.004134365064649273
